From,Destination,Airline,Price,Time,Stops
YYZ,BOM,AirFrance•OperatedbyEndeavorAirDBADeltaConnectionForDeltaAirLines,12:35p–12:05a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsJFKCDG2500AirFrance•OperatedbyEndeavorAirDBADeltaConnectionForDeltaAirLinesAdC1499EconoyAirFranceViewDeal$,25h 00m,2stops
YYZ,BOM,KLM,Best9:15p–12:40a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopAMS1655KLMC1861EconoyKLMViewDeal$,16h 55m,1stop
YYZ,BOM,MultipleAirlines•OperatedbyMaltaAir,Ceapest7:15p–5:20a+3YYZPearsonIntl-BOMCatrapatiSivajiIntl3stopsMANCIA-FCO...4735MultipleAirlines•OperatedbyMaltaAirC1062EconoyKiwi.coViewDeal$,47h 35m,3stops
YYZ,BOM,TAPAIRPORTUGALEtiadAirways,5:40p–2:20a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsLISAUH2210TAPAIRPORTUGALEtiadAirwaysC1536EconoyTrip.coViewDeal$,22h 10m,2stops
YYZ,BOM,AirIndia,11:55a–4:20p+1YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopDEL1755AirIndiaC1866EconoyFligtHubViewDeal$,17h 55m,1stop
YYZ,BOM,AirFrance•OperatedbyEndeavorAirDBADeltaConnectionForDeltaAirLines,12:35p–12:05a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsJFKCDG2500AirFrance•OperatedbyEndeavorAirDBADeltaConnectionForDeltaAirLinesC1499EconoyAirFranceViewDeal$,25h 00m,2stops
YYZ,BOM,TAPAIRPORTUGALEtiadAirways,5:40p–7:55a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsLISAUH2745TAPAIRPORTUGALEtiadAirwaysC1498EconoyTrip.coViewDeal$,27h 45m,2stops
YYZ,BOM,AirIndia,11:55a–4:50p+1YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopDEL1825AirIndiaC1866EconoyFligtHubViewDeal$,18h 25m,1stop
YYZ,BOM,AirIndiaVistara,11:55a–4:25p+1YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopDEL1800AirIndiaVistaraC1892EconoyFligtHubViewDeal$,18h 00m,1stop
YYZ,BOM,KLM•OperatedbyAirFrance,6:00p–12:05a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsAMSCDG1935KLM•OperatedbyAirFranceC1624EconoyKLMViewDeal$,19h 35m,2stops
YYZ,BOM,AirFrance•OperatedbyKLM,6:00p–12:05a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsAMSCDG1935AirFrance•OperatedbyKLMC1624EconoyAirFranceViewDeal$,19h 35m,2stops
YYZ,BOM,AirFrance,6:55p–12:05a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopCDG1840AirFranceC1858EconoyAirFranceViewDeal$,18h 40m,1stop
YYZ,BOM,KLM,6:00p–12:40a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopAMS2010KLMC1861EconoyKLMViewDeal$,20h 10m,1stop
YYZ,BOM,AirIndiaVistara,11:55a–5:35p+1YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopDEL1910AirIndiaVistaraC1892EconoyFligtHubViewDeal$,19h 10m,1stop
YYZ,BOM,AirCanada,5:00p–1:35a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsYULLHR2205AirCanadaC1643StandardFligtHubViewDeal$,22h 05m,2stops
YYZ,BOM,AirCanada,4:00p–1:35a+2YYZPearsonIntl-BOMCatrapatiSivajiIntl2stopsYULLHR2305AirCanadaC1643StandardFligtHubViewDeal$,23h 05m,2stops
YYZ,BOM,AirIndia,11:55a–7:35p+1YYZPearsonIntl-BOMCatrapatiSivajiIntl1stopDEL2110AirIndiaC1866EconoyFligtHubViewDeal$,21h 10m,1stop
