From,Destination,Airline,Price,Time,Stops
yyz,dlh,UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpress,Best9:00a–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD1325UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpressC710EconoyUnitedAirlinesViewDeal$,13h 25m,2stops
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpress,Ceapest10:00a–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD1225UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpressC511EconoyUnitedAirlinesViewDeal$,12h 25m,2stops
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,5:30p–9:25pYYZPearsonIntl-DLHDulutIntl1stopORD455UnitedAirlines•OperatedbySkywestDBAUnitedExpressC529BasicEconoyUnitedAirlinesViewDealC555Econoy$,4h 55m,1stop
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,11:00a–2:30pYYZPearsonIntl-DLHDulutIntl1stopORD430UnitedAirlines•OperatedbySkywestDBAUnitedExpressC638EconoyUnitedAirlinesViewDeal$,4h 30m,1stop
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,9:00a–2:30pYYZPearsonIntl-DLHDulutIntl1stopORD630UnitedAirlines•OperatedbySkywestDBAUnitedExpressC565BasicEconoyUnitedAirlinesViewDealC592Econoy$,6h 30m,1stop
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,3:00p–9:25pYYZPearsonIntl-DLHDulutIntl1stopORD725UnitedAirlines•OperatedbySkywestDBAUnitedExpressC529BasicEconoyUnitedAirlinesViewDealC555Econoy$,7h 25m,1stop
yyz,dlh,UnitedAirlines•OperatedbyAirCanadaSkywestDBAUnitedExpress,8:00a–2:30pYYZPearsonIntl-DLHDulutIntl1stopORD730UnitedAirlines•OperatedbyAirCanadaSkywestDBAUnitedExpressC638EconoyUnitedAirlinesViewDeal$,7h 30m,1stop
yyz,dlh,AirCanadaUnitedAirlines•OperatedbySkywestDBAUnitedExpress,2:35p–9:25pYYZPearsonIntl-DLHDulutIntl1stopORD750AirCanadaUnitedAirlines•OperatedbySkywestDBAUnitedExpressC717StandardUnitedAirlinesViewDeal$,7h 50m,1stop
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,6:52a–2:30pYYZPearsonIntl-DLHDulutIntl1stopORD838UnitedAirlines•OperatedbySkywestDBAUnitedExpressC654EconoyUnitedAirlinesViewDeal$,8h 38m,1stop
yyz,dlh,AirCanadaUnitedAirlines•OperatedbySkywestDBAUnitedExpress,8:00a–2:30pYYZPearsonIntl-DLHDulutIntl1stopORD730AirCanadaUnitedAirlines•OperatedbySkywestDBAUnitedExpressC825StandardUnitedAirlinesViewDeal$,7h 30m,1stop
yyz,dlh,UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpress,9:00a–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD1325UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpressC511EconoyUnitedAirlinesViewDeal$,13h 25m,2stops
yyz,dlh,UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpress,9:00a–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD1325UnitedAirlines•OperatedbyAirCanadaExpress-JazzSkywestDBAUnitedExpressC511EconoyUnitedAirlinesViewDeal$,13h 25m,2stops
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpress,11:00a–9:25pYYZPearsonIntl-DLHDulutIntl1stopORD1125UnitedAirlines•OperatedbySkywestDBAUnitedExpressC604EconoyUnitedAirlinesViewDeal$,11h 25m,1stop
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpress,10:00a–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD1225UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpressC545EconoyUnitedAirlinesViewDeal$,12h 25m,2stops
yyz,dlh,UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpress,2:45p–9:25pYYZPearsonIntl-DLHDulutIntl2stopsIADORD740UnitedAirlines•OperatedbySkywestDBAUnitedExpressRepublicAirwaysDBAUnitedExpressC876EconoyUnitedAirlinesViewDeal$,7h 40m,2stops
